time, lin_acc_x, lin_acc_y, lin_acc_z, ang_vel_x, ang_vel_y, ang_vel_z
6.1333337,5.6462984,8.022185,-4.655456e-06,-3.6477868e-05,-5.1810715e-05,-0.0032242676
6.15,5.6592484,8.013055,-5.3458743e-06,-2.6813674e-05,-3.7989492e-05,-0.003730776
6.166667,5.675277,8.001711,-6.3029775e-06,-1.8332155e-05,-2.5837002e-05,-0.0043083807
6.183334,5.692585,7.9894066,-5.8850587e-06,-8.880456e-06,-1.2440643e-05,-0.0048161037
6.2000003,5.712087,7.975475,-4.607267e-06,7.0136807e-06,9.782004e-06,-0.0052862316
6.216667,5.7350855,7.9589524,-5.385239e-06,9.054247e-06,1.2636552e-05,-0.0058701686
6.2333336,5.761876,7.9395776,-5.4241586e-06,1.8630659e-05,2.5711399e-05,-0.006537413
6.2500005,5.7878056,7.920695,-5.9038443e-06,2.088169e-05,2.8580711e-05,-0.0071105636
6.266667,5.817329,7.899036,-6.324512e-06,4.0226936e-05,5.464402e-05,-0.007572471
6.283334,5.8486876,7.875845,-5.5796377e-06,4.550884e-05,6.1243496e-05,-0.008047043
6.3,5.8815026,7.851369,-5.60776e-06,4.9260074e-05,6.57972e-05,-0.0085133305
6.316667,5.913516,7.827283,-5.652156e-06,4.1720996e-05,5.522047e-05,-0.008936696
6.3333335,5.948574,7.800672,-4.926824e-06,5.431042e-05,7.122625e-05,-0.009302212
6.3500004,5.982586,7.774618,-6.7103356e-06,9.89042e-05,0.00012868963,-0.011830593
6.366667,6.0180964,7.7471647,-6.5950285e-06,6.268447e-07,8.226777e-07,-0.005585274
6.3833337,6.0533757,7.7196226,-5.636346e-06,-3.8066293e-05,-4.857231e-05,-0.008764713
6.4000006,6.0870385,7.6931076,-5.3796234e-06,-2.7730423e-05,-3.5035497e-05,-0.010301626
6.416667,6.1225023,7.664926,-5.332898e-06,4.7482226e-06,5.9672766e-06,-0.011111573
6.433334,6.1563673,7.637757,-5.1413413e-06,2.5027082e-05,3.1041567e-05,-0.011254516
6.4500003,6.188338,7.6118746,-5.263567e-06,1.3519992e-05,1.6595159e-05,-0.010983391
6.466667,6.2166924,7.58873,-6.007731e-06,-1.1302494e-05,-1.3865388e-05,-0.010329308
6.4833336,6.2452183,7.5652704,-4.90994e-06,-1.5826501e-05,-1.917851e-05,-0.010091209
6.5000005,6.2704473,7.544374,-5.3872377e-06,-3.418887e-05,-4.108224e-05,-0.009509634
6.516667,6.295063,7.5238485,-5.1227803e-06,-3.8852173e-05,-4.6475005e-05,-0.009234161
6.533334,6.317468,7.505047,-5.6180834e-06,-4.698876e-05,-5.584519e-05,-0.008794291
6.55,6.3364396,7.4890385,-6.495862e-06,-4.9845137e-05,-5.891808e-05,-0.008056442
6.566667,6.355243,7.473088,-5.2568453e-06,-4.9060705e-05,-5.771211e-05,-0.00763344
6.5833335,6.369804,7.4606805,-5.3349336e-06,-4.9618528e-05,-5.811078e-05,-0.0067113754
6.6000004,6.383006,7.4493876,-6.5242643e-06,-5.1568586e-05,-6.0186096e-05,-0.0059755035
6.616667,6.3933563,7.440507,-5.0991493e-06,-5.1402032e-05,-5.983487e-05,-0.0050738733
6.6333337,6.4023,7.4328117,-5.463005e-06,-5.823302e-05,-6.760269e-05,-0.004328313
6.6500006,6.40894,7.427087,-3.9982465e-06,-5.1095343e-05,-5.9232876e-05,-0.0034527876
